"features_geometry_coordinates_0","features_geometry_coordinates_1","features_geometry_type","features_properties_city","features_properties_date","features_properties_description","features_properties_source","features_properties_source_href_0","features_properties_source_href_1","features_properties_source_href_2","features_properties_source_href_3","features_properties_state","features_properties_title","features_type"
"9.44649893726","48.145461043","Point","Altheim","11.10.2015","Unbekannte warfen in der Nacht zu Sonntag einen ""stark Rauch entwickelnden Gegenstand"" durch ein geöffnetes Fenster in die örtliche Asylunterkunft. Verletzt wurde dadurch niemand, es entstand jedoch geringer Sachschaden. Die Bewohner konnten noch in der Nacht in ihre Wohnungen zurückkehren. Die Kriminalpolizei Ulm hat die Ermittlungen aufgenommen.","Heidenheimer Zeitung","http://www.swp.de/heidenheim/lokales/polizeibericht/Asylunterkunft-Altheim-Unbekannter-wirft-rauchenden-Gegenstand-durchs-Fenster;art1180840,3474324","","","","Baden-Württemberg","Sonstige Angriffe auf Unterkünfte","Feature"
"12.1337648406","50.4940964678","Point","Plauen","11.10.2015","Zum vierten Mal rief die Initiative ""Wir sind Deutschland"" zu eine Demo gegen die Asylpolitik der Bundesregierung auf. Dieses Mal folgten laut Polizei etwa 5000 Menschen dem Aufruf.","Freie Presse","http://www.freiepresse.de/NACHRICHTEN/TOP-THEMA/Anti-Asyl-Proteste-werden-lauter-artikel9326018.php","","","","Sachsen","Kundgebung/Demo","Feature"
"13.343721469","50.9165442098","Point","Freiberg","11.10.2015","Als am Sonntag Busse mit neuen Asylsuchenden eintreffen, findet sich eine in Teilen äußerst aggressive Ansammlung von Menschen zusammen, die die Ankunft der Geflüchteten verhindern will.","eigene Recherche, Video auf Facebook","https://www.facebook.com/mandy.beer.581/videos/vb.1670508337/10204214757203705/?type=2&theater=","","","","Sachsen","Sonstige Angriffe auf Unterkünfte","Feature"
"12.0795459398","50.8773237365","Point","Gera","10.10.2015","Laut Polizei demonstrierten am Samstag etwa 1500 Menschen ""gegen die Asylpolitik"". Hauptredner der Kundgebung ""Wir lieben Gera"", einem Ableger der Thügida-Bewegung, war David Köckert, Kreistagsmitglied für die Greizer NPD. Als Redner sprachen außerdem ","Ostthüringer Zeitung","http://www.otz.de/web/zgt/leben/detail/-/specific/Asylgegner-gehen-in-Gera-auf-die-Strasse-1088201657","","","","Thüringen","Kundgebung/Demo","Feature"
"12.7552629512","50.8603701694","Point","Limbach-Oberfrohna","10.10.2015","Mit Russlandfahnen und schwarz-weiß-roter Reichsflagge marschieren etwa 150 Menschen ""gegen die Asylpolitik"", darunter auch Vertreter der Partei ""Die Rechte"". Sie skandieren Parolen wie ""Frei, sozial und national"" sowie ""Wir marschieren - der nationale Widerstand"".","Freie Presse","http://www.freiepresse.de/NACHRICHTEN/TOP-THEMA/Anti-Asyl-Proteste-werden-lauter-artikel9326018.php","","","","Sachsen","Kundgebung/Demo","Feature"
"12.9064386988","50.7917646374","Point","Chemnitz-Markersdorf","10.10.2015","In Chemnitz-Markersdorf, wo seit Tagen gegen eine geplante Asylunterkunft demonstriert wird, eskalierte die Situation am Wochenende erneut. Unbekannte warfen Steine auf eine Kirche, in der ein Teil der Asylsuchenden Schutz gefunden hatte. Mehrere Scheiben gingen zu Bruch. Eine Mutter und zwei Kinder wurden durch Glassplitter verletzt.","Mopo24, BILD","https://mopo24.de/nachrichten/so-war-die-randale-nacht-in-sachsen-18487","http://www.bild.de/regional/chemnitz/fluechtlingskrise/nazi-angriff-auf-kirchen-asyl-42974642.bild.html","","","Sachsen","Sonstige Angriffe auf Unterkünfte","Feature"
"13.5842417753","52.522572367","Point","Berlin-Hellersdorf","10.10.2015","Ein 21-Jähriger hat an der Asylunterkunft in der Carola-Neher-Straße Kinder rassistisch beleidigt und mit Steinen beworfen. Anschließend verletzte er einen Wachmann mit einer Flasche.","Polizei Berlin","https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.384508.php","","","","Berlin","Tätlicher Übergriff/Körperverletzung","Feature"
"12.078961518","50.8772577362","Point","Gera","10.10.2015","In der Nacht zu Sonntag stellte der Wachdienst drei Männer im Alter von 25 bis 42 Jahren auf dem noch verwaisten Gelände einer geplanten Asylunterkunft. Sie seien betrunken gewesen und hätten eine Softair-Pistole und ein Messer bei sich geführt. Bereits in der Nacht zu Samstag hatten sich Unbekannte Zutritt zu dem Gebäude verschafft.","Ostthüringer Zeitung","http://www.otz.de/web/zgt/leben/blaulicht/detail/-/specific/Erneut-Eindringlinge-in-geplanter-Erstaufnahmestelle-in-Ex-Wismut-Krankenhaus-Ge-332962952","","","","Thüringen","Sonstige Angriffe auf Unterkünfte","Feature"
"12.7747592006","50.7091680052","Point","Stollberg","10.10.2015","Die selbsternannten ""Freien Patrioten"" demonstrierten am Samstag laut Polizei mit etwa 500 Personen gegen eine geplante Asylunterkunft im benachbarten Niederdorf. Die Teilnehmenden skandierten ""Merkel muss weg"" und ""Der Islam gehört nicht ins Erzgebirge.""","Freie Presse","http://www.freiepresse.de/NACHRICHTEN/TOP-THEMA/Anti-Asyl-Proteste-werden-lauter-artikel9326018.php","","","","Sachsen","Kundgebung/Demo","Feature"
"13.9886470106","53.5056099618","Point","Pasewalk","10.10.2015","Am Samstag demonstrierten in Pasewalk etwa 100 Menschen für ein „Ende des Asylbetruges“ und einen „Stopp der Asylflut“. Sie skandierten außerdem „Merkel muss weg“ und „Wir sind das Volk“. Unter den Teilnehmenden war auch der NPD-Landtagsabgeordnete Michael Andrejewski.","Nordkurier","http://www.nordkurier.de/pasewalk/friedensfest-kontra-anti-asyl-demo-1118016410.html","","","","Mecklenburg-Vorpommern","Kundgebung/Demo","Feature"
"12.1284175965","54.0929724694","Point","Rostock","10.10.2015","Ein aus Tschetschenien geflüchteter Mann wird von vier Personen rassistisch beleidigt. Dann schlagen die Rechten auf ihn ein, so dass er zu Boden fällt. Im Anschluss treten die Angreifer auf den am Boden Liegenden ein.","LOBBI – für Betroffene rechter Gewalt","http://www.lobbi-mv.de/chronik/","","","","Mecklenburg-Vorpommern","Tätlicher Übergriff/Körperverletzung","Feature"
"14.1330453389","52.715826236","Point","Wriezen","10.10.2015","In Wriezen demonstrierten am Samstag mehrere hundert Menschen gegen Asylsuchende und die deutsche Asylpolitik. Unter den Teilnehmenden waren auch mehrere Mitglieder der Partei ""Die Rechte"".","Tagesspiegel","http://www.pnn.de/brandenburg-berlin/1014071/","","","","Brandenburg","Kundgebung/Demo","Feature"
"11.9698787403","51.4829145596","Point","Halle (Saale)","10.10.2015","Die Partei ""Die Rechte"" demonstrierte am Samstag in Halle-Neustadt mit rund 100 Personen unter dem Motto »Alle sagen Nein zum Asylheim«. Die ursprünglich geplante Marschroute konnte nicht angetreten werden, da linkge Gegenproteste dies mit Sitzblockaden verhinderten.","Mitteldeutsche Zeitung","http://www.mz-web.de/halle-saalekreis/demo-in-halle-neustadt-sitzblockade-gegen--die-rechte-,20640778,32132036.html","","","","Sachsen-Anhalt","Kundgebung/Demo","Feature"
"11.4639069927","53.890170467","Point","Wismar","10.10.2015","Erneut veranstaltate die rechte Initiative „Wismar wehrt sich“ eine Demonstration, an der sich etwa 150 Personen beteiligten, darunter einige lokale NPD-Mitglieder.","Ostsee-Zeitung","http://www.ostsee-zeitung.de/Mecklenburg/Wismar/Politik/150-Teilnehmer-bei-Demo-Wismar-wehrt-sich","","","","Mecklenburg-Vorpommern","Kundgebung/Demo","Feature"
"12.6414193009","50.5960525605","Point","Schneeberg","10.10.2015","Unter dem Motto ""Tradition statt Invasion"" hat der NPD-Abgeordnete Stefan Hartung zu einer Demonstration aufgerufen, an der sich etwa 1000 Menschen beteiligten. In einer Rede rief Hartung zum ""Volksaufstand"" gegen die Regierung und gegen die weitere Aufnahme von Flüchtlingen auf. Pegida, AfD und NPD müssten sich gegen ""korrupte, antideutsche Marionetten"" in der politischen Führung in Bund und Land verbünden. Die Demonstrierenden skandierten ""Merkel muss weg"", ""Wir sind das Volk"" und ""Abschieben!"".","Freie Presse","http://www.freiepresse.de/NACHRICHTEN/TOP-THEMA/Anti-Asyl-Proteste-werden-lauter-artikel9326018.php","","","","Sachsen","Kundgebung/Demo","Feature"
"9.7117811798","53.2836247048","Point","Tostedt","10.10.2015","In Tostedt haben Unbekannte am Samstag die örtliche Asylunterkunft mit seitenverkehrten Hakenkreuzen und rassistischen Parolen beschmiert.","Hamburger Abendblatt","http://www.abendblatt.de/hamburg/harburg/article206221453/Hakenkreuz-Schmierereien-alarmieren-Behoerden.html","","","","Niedersachsen","Sonstige Angriffe auf Unterkünfte","Feature"
"14.7152623505","51.9510780084","Point","Guben","10.10.2015","In Guben demonstrierten über 100 Menschen direkt vor der örtlichen Asylunterkunft gegen Flüchtlinge. Beworben wurde die Veranstaltung auf einer NPD-nahen Facebook-Seite. Bereits im Frühjahr demonstrierten hier 70 Neonazis aus NPD und Freien Kräften gegen die Einrichtung.","Tagesspiegel","http://www.pnn.de/brandenburg-berlin/1014071/","","","","Brandenburg","Kundgebung/Demo","Feature"
"13.2988015674","51.0565530165","Point","Nossen","09.10.2015","An einer Kundgebung der AfD unter dem Motto ""Asylchaos stoppen"" beteiligten sich mehrere hundert Menschen. Als Rednerin trat unter anderm Frauke Petry auf.","Sächische Zeitung","http://www.sz-online.de/nachrichten/hunderte-bei-demo-in-nossen-3219244.html","","","","Sachsen","Kundgebung/Demo","Feature"
